Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
131	-0.0217	9.5271	0.17442	5.575	6.361	6.871	7.157	7.623	7.954	8.471	9.527	10.718	11.419	11.92	12.704	13.242	14.321	16.384
132	-0.0222	9.5208	0.17461	5.568	6.354	6.864	7.151	7.616	7.948	8.464	9.521	10.712	11.414	11.915	12.7	13.238	14.318	16.384
133	-0.0227	9.5145	0.1748	5.562	6.347	6.857	7.144	7.609	7.941	8.458	9.515	10.707	11.409	11.91	12.696	13.234	14.316	16.384
134	-0.0233	9.5082	0.17499	5.555	6.341	6.85	7.137	7.603	7.934	8.451	9.508	10.701	11.403	11.906	12.692	13.231	14.313	16.385
135	-0.0238	9.5018	0.17517	5.549	6.334	6.844	7.13	7.596	7.927	8.444	9.502	10.695	11.398	11.9	12.687	13.227	14.31	16.384
136	-0.0244	9.4954	0.17536	5.543	6.327	6.837	7.123	7.589	7.921	8.438	9.495	10.689	11.393	11.895	12.683	13.223	14.308	16.384
137	-0.0249	9.489	0.17554	5.536	6.321	6.83	7.117	7.582	7.914	8.431	9.489	10.684	11.387	11.89	12.679	13.219	14.305	16.384
138	-0.0254	9.4826	0.17573	5.53	6.314	6.823	7.11	7.575	7.907	8.424	9.483	10.678	11.382	11.885	12.674	13.215	14.302	16.384
139	-0.0259	9.4761	0.17591	5.523	6.307	6.816	7.103	7.568	7.9	8.417	9.476	10.672	11.376	11.88	12.67	13.211	14.299	16.383
140	-0.0265	9.4697	0.17609	5.517	6.301	6.81	7.096	7.562	7.893	8.411	9.47	10.666	11.371	11.875	12.665	13.207	14.296	16.383
141	-0.027	9.4631	0.17627	5.51	6.294	6.803	7.089	7.555	7.887	8.404	9.463	10.66	11.365	11.87	12.66	13.203	14.293	16.382
142	-0.0275	9.4566	0.17645	5.504	6.287	6.796	7.083	7.548	7.88	8.397	9.457	10.654	11.359	11.864	12.656	13.198	14.29	16.381
143	-0.028	9.4501	0.17663	5.498	6.281	6.789	7.076	7.541	7.873	8.39	9.45	10.648	11.354	11.859	12.651	13.194	14.286	16.38
144	-0.0285	9.4435	0.17681	5.491	6.274	6.783	7.069	7.534	7.866	8.384	9.444	10.642	11.348	11.854	12.646	13.19	14.283	16.379
145	-0.029	9.4368	0.17699	5.485	6.267	6.776	7.062	7.527	7.859	8.377	9.437	10.636	11.342	11.848	12.641	13.185	14.28	16.378
146	-0.0295	9.4302	0.17717	5.478	6.26	6.769	7.055	7.52	7.852	8.37	9.43	10.629	11.337	11.843	12.637	13.181	14.276	16.377
147	-0.03	9.4235	0.17734	5.472	6.254	6.762	7.048	7.514	7.845	8.363	9.424	10.623	11.331	11.837	12.631	13.176	14.273	16.375
148	-0.0305	9.4168	0.17752	5.466	6.247	6.755	7.041	7.507	7.838	8.356	9.417	10.617	11.325	11.832	12.626	13.172	14.269	16.374
149	-0.031	9.4101	0.17769	5.459	6.24	6.748	7.034	7.5	7.831	8.349	9.41	10.611	11.319	11.826	12.621	13.167	14.265	16.373
150	-0.0315	9.4034	0.17787	5.453	6.234	6.742	7.028	7.493	7.824	8.342	9.403	10.604	11.313	11.821	12.616	13.163	14.262	16.372
151	-0.032	9.3966	0.17804	5.446	6.227	6.735	7.021	7.486	7.817	8.335	9.397	10.598	11.307	11.815	12.611	13.158	14.258	16.37
152	-0.0325	9.3898	0.17821	5.44	6.22	6.728	7.014	7.479	7.811	8.328	9.39	10.592	11.301	11.809	12.606	13.153	14.254	16.368
153	-0.033	9.3829	0.17838	5.434	6.214	6.721	7.007	7.472	7.803	8.321	9.383	10.585	11.295	11.803	12.6	13.148	14.25	16.366
154	-0.0335	9.3761	0.17855	5.427	6.207	6.714	7	7.465	7.797	8.314	9.376	10.579	11.289	11.797	12.595	13.143	14.246	16.364
155	-0.034	9.3692	0.17872	5.421	6.2	6.707	6.993	7.458	7.79	8.307	9.369	10.572	11.282	11.791	12.59	13.138	14.241	16.362
156	-0.0345	9.3623	0.17889	5.415	6.193	6.7	6.986	7.451	7.782	8.3	9.362	10.566	11.276	11.785	12.584	13.133	14.237	16.36
157	-0.0349	9.3554	0.17906	5.408	6.187	6.694	6.979	7.444	7.775	8.293	9.355	10.559	11.27	11.779	12.579	13.128	14.233	16.358
158	-0.0354	9.3484	0.17923	5.402	6.18	6.687	6.972	7.437	7.768	8.286	9.348	10.552	11.264	11.773	12.573	13.122	14.229	16.356
159	-0.0359	9.3415	0.17939	5.395	6.173	6.68	6.965	7.43	7.761	8.279	9.342	10.546	11.257	11.767	12.567	13.117	14.224	16.353
160	-0.0364	9.3345	0.17956	5.389	6.167	6.673	6.958	7.423	7.754	8.272	9.335	10.539	11.251	11.761	12.562	13.112	14.22	16.351
161	-0.0368	9.3275	0.17972	5.383	6.16	6.666	6.951	7.416	7.747	8.265	9.328	10.532	11.244	11.755	12.556	13.106	14.215	16.348
162	-0.0373	9.3205	0.17988	5.376	6.153	6.659	6.945	7.409	7.74	8.258	9.321	10.526	11.238	11.749	12.55	13.101	14.21	16.345
163	-0.0378	9.3134	0.18005	5.37	6.146	6.652	6.938	7.402	7.733	8.251	9.313	10.519	11.232	11.742	12.544	13.096	14.206	16.343
164	-0.0383	9.3064	0.18021	5.364	6.14	6.646	6.931	7.395	7.726	8.244	9.306	10.512	11.225	11.736	12.539	13.09	14.201	16.34
165	-0.0387	9.2993	0.18037	5.357	6.133	6.639	6.924	7.388	7.719	8.236	9.299	10.505	11.218	11.73	12.533	13.084	14.196	16.337
166	-0.0392	9.2922	0.18053	5.351	6.126	6.632	6.917	7.381	7.712	8.229	9.292	10.499	11.212	11.723	12.527	13.079	14.192	16.334
167	-0.0396	9.2851	0.18069	5.345	6.12	6.625	6.91	7.374	7.705	8.222	9.285	10.492	11.205	11.717	12.521	13.073	14.187	16.331
168	-0.0401	9.278	0.18085	5.339	6.113	6.618	6.903	7.367	7.698	8.215	9.278	10.485	11.199	11.711	12.515	13.068	14.182	16.328
169	-0.0406	9.2709	0.181	5.332	6.107	6.611	6.896	7.36	7.691	8.208	9.271	10.478	11.192	11.704	12.509	13.062	14.177	16.324
170	-0.041	9.2638	0.18116	5.326	6.1	6.604	6.889	7.353	7.683	8.201	9.264	10.471	11.185	11.698	12.503	13.056	14.172	16.321
171	-0.0415	9.2566	0.18131	5.32	6.093	6.598	6.882	7.346	7.676	8.194	9.257	10.464	11.178	11.691	12.496	13.05	14.166	16.318
172	-0.0419	9.2495	0.18147	5.314	6.087	6.591	6.875	7.338	7.669	8.186	9.25	10.457	11.172	11.685	12.49	13.044	14.161	16.314
173	-0.0424	9.2423	0.18162	5.307	6.08	6.584	6.868	7.331	7.662	8.179	9.242	10.45	11.165	11.678	12.484	13.038	14.156	16.311
174	-0.0428	9.2351	0.18177	5.301	6.073	6.577	6.861	7.324	7.655	8.172	9.235	10.443	11.158	11.671	12.477	13.032	14.15	16.307
175	-0.0433	9.2279	0.18192	5.295	6.067	6.57	6.855	7.317	7.648	8.165	9.228	10.436	11.151	11.665	12.471	13.026	14.145	16.303
176	-0.0437	9.2208	0.18207	5.289	6.06	6.564	6.848	7.31	7.641	8.158	9.221	10.429	11.145	11.658	12.465	13.02	14.14	16.299
177	-0.0441	9.2135	0.18222	5.283	6.054	6.557	6.841	7.303	7.634	8.151	9.214	10.422	11.138	11.651	12.458	13.014	14.134	16.295
178	-0.0446	9.2063	0.18237	5.277	6.047	6.55	6.834	7.296	7.627	8.143	9.206	10.415	11.131	11.644	12.452	13.008	14.129	16.292
179	-0.045	9.1991	0.18251	5.271	6.041	6.543	6.827	7.289	7.62	8.136	9.199	10.408	11.124	11.638	12.445	13.001	14.123	16.287
180	-0.0455	9.1919	0.18266	5.265	6.034	6.537	6.82	7.282	7.613	8.129	9.192	10.401	11.117	11.631	12.439	12.995	14.117	16.284
181	-0.0459	9.1847	0.1828	5.258	6.028	6.53	6.814	7.276	7.606	8.122	9.185	10.394	11.11	11.624	12.432	12.989	14.112	16.279
182	-0.0463	9.1775	0.18295	5.252	6.021	6.523	6.807	7.269	7.599	8.115	9.178	10.386	11.103	11.617	12.426	12.983	14.106	16.275
183	-0.0468	9.1702	0.18309	5.246	6.015	6.517	6.8	7.262	7.592	8.108	9.17	10.379	11.096	11.61	12.419	12.976	14.1	16.271
184	-0.0472	9.163	0.18323	5.24	6.008	6.51	6.793	7.255	7.585	8.101	9.163	10.372	11.089	11.603	12.413	12.97	14.094	16.266
185	-0.0476	9.1557	0.18337	5.234	6.002	6.503	6.786	7.248	7.577	8.093	9.156	10.365	11.082	11.596	12.406	12.963	14.088	16.262
186	-0.048	9.1485	0.18351	5.228	5.995	6.497	6.78	7.241	7.57	8.086	9.149	10.358	11.075	11.59	12.399	12.957	14.082	16.257
187	-0.0485	9.1413	0.18365	5.222	5.989	6.49	6.773	7.234	7.564	8.079	9.141	10.351	11.068	11.583	12.393	12.951	14.077	16.253
188	-0.0489	9.134	0.18378	5.216	5.983	6.483	6.766	7.227	7.557	8.072	9.134	10.343	11.06	11.576	12.386	12.944	14.07	16.248
189	-0.0493	9.1268	0.18392	5.211	5.976	6.477	6.759	7.22	7.55	8.065	9.127	10.336	11.053	11.569	12.379	12.937	14.065	16.243
190	-0.0497	9.1195	0.18405	5.205	5.97	6.47	6.753	7.213	7.543	8.058	9.12	10.329	11.046	11.561	12.372	12.93	14.058	16.238
191	-0.0502	9.1123	0.18419	5.199	5.964	6.464	6.746	7.206	7.536	8.051	9.112	10.322	11.039	11.555	12.366	12.924	14.052	16.234
192	-0.0506	9.1051	0.18432	5.193	5.957	6.457	6.739	7.2	7.529	8.044	9.105	10.314	11.032	11.548	12.359	12.917	14.046	16.229
193	-0.051	9.0978	0.18445	5.187	5.951	6.45	6.733	7.193	7.522	8.037	9.098	10.307	11.025	11.54	12.352	12.911	14.04	16.224
194	-0.0514	9.0906	0.18458	5.181	5.945	6.444	6.726	7.186	7.515	8.03	9.091	10.3	11.018	11.533	12.345	12.904	14.034	16.219
195	-0.0518	9.0833	0.18471	5.175	5.938	6.437	6.719	7.179	7.508	8.023	9.083	10.293	11.01	11.526	12.338	12.897	14.027	16.213
196	-0.0522	9.0761	0.18483	5.17	5.932	6.431	6.713	7.172	7.501	8.016	9.076	10.285	11.003	11.519	12.331	12.89	14.021	16.208
197	-0.0526	9.0689	0.18496	5.164	5.926	6.425	6.706	7.166	7.494	8.009	9.069	10.278	10.996	11.512	12.324	12.883	14.014	16.203
198	-0.0531	9.0616	0.18509	5.158	5.92	6.418	6.7	7.159	7.487	8.001	9.062	10.271	10.989	11.505	12.317	12.877	14.008	16.198
199	-0.0535	9.0544	0.18521	5.153	5.914	6.412	6.693	7.152	7.48	7.994	9.054	10.263	10.981	11.497	12.31	12.87	14.001	16.192
200	-0.0539	9.0472	0.18533	5.147	5.908	6.405	6.687	7.145	7.473	7.987	9.047	10.256	10.974	11.49	12.303	12.863	13.995	16.187
