Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
131	0.1095	9.5268	0.18555	5.269	6.122	6.674	6.984	7.487	7.844	8.399	9.527	10.788	11.524	12.048	12.863	13.418	14.525	16.614
132	0.1078	9.52	0.18578	5.263	6.115	6.667	6.977	7.48	7.837	8.392	9.52	10.782	11.519	12.043	12.859	13.415	14.524	16.617
133	0.1062	9.5132	0.186	5.257	6.109	6.66	6.97	7.473	7.83	8.384	9.513	10.776	11.513	12.038	12.855	13.412	14.523	16.62
134	0.1045	9.5063	0.18623	5.251	6.102	6.653	6.963	7.465	7.822	8.377	9.506	10.77	11.508	12.033	12.852	13.409	14.522	16.623
135	0.1028	9.4993	0.18645	5.245	6.095	6.646	6.956	7.458	7.815	8.37	9.499	10.764	11.503	12.028	12.848	13.406	14.521	16.626
136	0.1012	9.4923	0.18667	5.239	6.088	6.639	6.949	7.451	7.808	8.363	9.492	10.757	11.497	12.023	12.844	13.403	14.519	16.629
137	0.0996	9.4853	0.1869	5.233	6.082	6.632	6.941	7.443	7.8	8.355	9.485	10.751	11.492	12.019	12.84	13.4	14.518	16.632
138	0.098	9.4782	0.18712	5.226	6.075	6.625	6.934	7.436	7.793	8.348	9.478	10.745	11.486	12.013	12.836	13.397	14.516	16.634
139	0.0964	9.471	0.18733	5.22	6.068	6.618	6.927	7.429	7.785	8.34	9.471	10.738	11.48	12.008	12.831	13.393	14.514	16.636
140	0.0948	9.4638	0.18755	5.214	6.061	6.611	6.92	7.421	7.778	8.333	9.464	10.732	11.474	12.003	12.827	13.389	14.512	16.638
141	0.0932	9.4565	0.18776	5.208	6.054	6.604	6.913	7.414	7.77	8.325	9.457	10.725	11.468	11.997	12.822	13.385	14.51	16.64
142	0.0916	9.4492	0.18798	5.202	6.047	6.596	6.905	7.406	7.763	8.318	9.449	10.719	11.462	11.992	12.818	13.382	14.508	16.642
143	0.09	9.4418	0.18819	5.196	6.041	6.589	6.898	7.399	7.755	8.31	9.442	10.712	11.456	11.986	12.813	13.377	14.506	16.643
144	0.0885	9.4344	0.1884	5.189	6.034	6.582	6.89	7.391	7.748	8.303	9.434	10.705	11.45	11.98	12.808	13.373	14.503	16.644
145	0.0869	9.4269	0.18861	5.183	6.027	6.575	6.883	7.384	7.74	8.295	9.427	10.698	11.443	11.974	12.803	13.369	14.5	16.645
146	0.0854	9.4193	0.18882	5.177	6.02	6.567	6.876	7.376	7.732	8.287	9.419	10.691	11.437	11.968	12.798	13.365	14.498	16.646
147	0.0839	9.4118	0.18902	5.171	6.013	6.56	6.868	7.369	7.725	8.28	9.412	10.684	11.43	11.962	12.793	13.36	14.495	16.647
148	0.0824	9.4041	0.18923	5.165	6.006	6.553	6.861	7.361	7.717	8.272	9.404	10.677	11.424	11.956	12.788	13.356	14.492	16.647
149	0.0808	9.3964	0.18943	5.159	5.999	6.546	6.853	7.353	7.709	8.264	9.396	10.67	11.417	11.95	12.782	13.351	14.488	16.648
150	0.0794	9.3887	0.18963	5.152	5.992	6.538	6.846	7.346	7.702	8.256	9.389	10.663	11.41	11.944	12.777	13.346	14.485	16.648
151	0.0779	9.3809	0.18983	5.146	5.985	6.531	6.839	7.338	7.694	8.248	9.381	10.656	11.404	11.937	12.771	13.341	14.481	16.648
152	0.0764	9.373	0.19003	5.14	5.978	6.524	6.831	7.33	7.686	8.24	9.373	10.648	11.397	11.931	12.765	13.336	14.478	16.648
153	0.0749	9.3652	0.19023	5.134	5.971	6.516	6.824	7.323	7.678	8.232	9.365	10.641	11.39	11.924	12.76	13.331	14.474	16.648
154	0.0734	9.3572	0.19042	5.127	5.964	6.509	6.816	7.315	7.67	8.224	9.357	10.633	11.383	11.918	12.754	13.325	14.47	16.647
155	0.072	9.3493	0.19062	5.121	5.957	6.502	6.808	7.307	7.662	8.216	9.349	10.626	11.376	11.911	12.748	13.32	14.466	16.647
156	0.0706	9.3413	0.19081	5.115	5.95	6.494	6.801	7.299	7.654	8.208	9.341	10.618	11.368	11.904	12.742	13.314	14.462	16.646
157	0.0691	9.3332	0.191	5.109	5.943	6.487	6.793	7.291	7.647	8.2	9.333	10.61	11.361	11.897	12.735	13.309	14.458	16.645
158	0.0677	9.3252	0.19119	5.103	5.936	6.48	6.786	7.284	7.639	8.192	9.325	10.603	11.354	11.89	12.729	13.303	14.453	16.644
159	0.0663	9.3171	0.19138	5.096	5.929	6.472	6.778	7.276	7.631	8.184	9.317	10.595	11.347	11.883	12.723	13.297	14.449	16.643
160	0.0649	9.3089	0.19157	5.09	5.922	6.465	6.771	7.268	7.623	8.176	9.309	10.587	11.339	11.876	12.716	13.292	14.444	16.641
161	0.0635	9.3008	0.19175	5.084	5.916	6.458	6.763	7.26	7.615	8.168	9.301	10.579	11.332	11.869	12.71	13.286	14.44	16.639
162	0.0621	9.2926	0.19194	5.078	5.908	6.45	6.756	7.252	7.607	8.16	9.293	10.572	11.324	11.862	12.703	13.28	14.435	16.638
163	0.0607	9.2844	0.19212	5.072	5.902	6.443	6.748	7.245	7.599	8.152	9.284	10.564	11.316	11.855	12.697	13.273	14.43	16.636
164	0.0593	9.2761	0.1923	5.066	5.895	6.436	6.74	7.237	7.591	8.144	9.276	10.556	11.309	11.847	12.69	13.267	14.425	16.634
165	0.0579	9.2679	0.19248	5.059	5.888	6.428	6.733	7.229	7.583	8.136	9.268	10.548	11.301	11.84	12.683	13.261	14.42	16.632
166	0.0566	9.2596	0.19266	5.053	5.881	6.421	6.725	7.221	7.575	8.127	9.26	10.54	11.293	11.833	12.676	13.255	14.415	16.63
167	0.0552	9.2513	0.19283	5.047	5.874	6.414	6.718	7.213	7.567	8.119	9.251	10.531	11.286	11.825	12.669	13.248	14.41	16.628
168	0.0539	9.2429	0.19301	5.041	5.867	6.406	6.71	7.205	7.559	8.111	9.243	10.523	11.278	11.817	12.662	13.242	14.404	16.625
169	0.0525	9.2346	0.19318	5.035	5.86	6.399	6.703	7.198	7.551	8.103	9.235	10.515	11.27	11.81	12.655	13.235	14.399	16.623
170	0.0512	9.2262	0.19335	5.029	5.853	6.391	6.695	7.19	7.543	8.095	9.226	10.507	11.262	11.802	12.648	13.228	14.393	16.62
171	0.0498	9.2178	0.19352	5.023	5.846	6.384	6.688	7.182	7.535	8.086	9.218	10.499	11.254	11.794	12.641	13.222	14.387	16.617
172	0.0485	9.2094	0.19369	5.017	5.839	6.377	6.68	7.174	7.527	8.078	9.209	10.49	11.246	11.787	12.634	13.215	14.382	16.614
173	0.0472	9.201	0.19386	5.011	5.833	6.37	6.673	7.166	7.519	8.07	9.201	10.482	11.238	11.779	12.627	13.208	14.376	16.611
174	0.0459	9.1926	0.19403	5.005	5.826	6.362	6.665	7.159	7.511	8.062	9.193	10.474	11.23	11.771	12.619	13.201	14.37	16.608
175	0.0446	9.1842	0.19419	4.999	5.819	6.355	6.658	7.151	7.503	8.054	9.184	10.465	11.222	11.763	12.612	13.194	14.364	16.605
176	0.0433	9.1757	0.19435	4.993	5.812	6.348	6.65	7.143	7.495	8.045	9.176	10.457	11.213	11.755	12.604	13.187	14.358	16.601
177	0.042	9.1672	0.19452	4.987	5.805	6.34	6.643	7.135	7.487	8.037	9.167	10.449	11.205	11.747	12.597	13.18	14.352	16.598
178	0.0408	9.1588	0.19468	4.981	5.798	6.333	6.635	7.127	7.479	8.029	9.159	10.44	11.197	11.739	12.589	13.173	14.346	16.594
179	0.0395	9.1503	0.19483	4.975	5.792	6.326	6.628	7.12	7.471	8.021	9.15	10.432	11.189	11.731	12.582	13.165	14.34	16.59
180	0.0382	9.1418	0.19499	4.969	5.785	6.319	6.62	7.112	7.463	8.013	9.142	10.423	11.181	11.723	12.574	13.158	14.333	16.587
181	0.037	9.1333	0.19515	4.963	5.778	6.312	6.613	7.104	7.455	8.004	9.133	10.415	11.172	11.715	12.566	13.151	14.327	16.583
